name,description,productImageUrl,collection,sku,price,Mod de utilizare,Ingrediente,Precauţii,Informații despre producător,brand
"Scottish Fine Soaps, Sea Kelp Balsam pentru picioare, 75ml","Răsfață-ți picioarele obosite cu un balsam hidratant pentru îngrijire picioare. Infuzat cu mentol, eucalipt și extract de alge marine, acest tratament răcește, revitalizează și catifelează pielea uscată.",7888ab_9aeb358cf87243afb735a72b439b634c~mv2.jpg,Hidratare;Sea Kelp;Baie & Corp;Îngrijire Corp;Îngrijire Picioare;Scottish Fine Soaps,5016365100281,33,Masați o cantitate mică din acest balsam hrănitor pe picioare până la absorbția completă.,"Aqua (Water), Caprylic/Capric Triglyceride, Cetearyl Alcohol, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Olea Europaea (Olive) Oil, Parfum (Fragrance), Phenoxyethanol, Glyceryl Stearate, Theobroma Cacoa (Cocoa) Seed Butter, PEG-20 Stearate, Carbomer, Eucalyptus Globulus Leaf Oil, Aminomethyl Propanol, Menthol, Ethylhexylglycerin, Glycerin, Cucumber Sativus Juice, Fucus Vesiculosus Extract, Laminaria Digitata Extract, Potassium Sorbate, Eucalyptus Leaf Oil, Linalool, Limonene, Hexamethylindanopyran, Benzyl Salicylate, Acetyl Cedrene, Hydroxycitronellal, Citronellol, Alpha-Pinene, Eugenol, Isoeugenol Acetate, Tetramethylacetyloctahydronaphthalenes, Alpha-Isomethyl Ionone, Geraniol, Amyl Cinnamal, Rose Ketones, Terpineol, Alpha-Terpinene, Terpinolene",Nu ţineţi la îndemâna copiilor. Împotriva testării pe animale. Evitaţi contactul cu ochii. În caz de contact clătiți abundent cu apă. Nu este comestibil.,"Informatii privind identificarea producatorului, inclusiv datele de contact ale acestuia. Denumirea companiei: Scottish Fine Soaps Adresa Sediului: North Main Street, Carronshore, Falkirk, FK28HT Adresa email: sales@scottishfinesoaps.com",Scottish Fine Soaps
"Scottish Fine Soaps, Sea Kelp Exfoliant pentru picioare, 75ml","Descoperă un exfoliant purifiant pentru îngrijire picioare îmbogățit cu mentă și alge marine. Piatra ponce îndepărtează delicat pielea moartă, lăsând picioarele fine, revitalizate și perfect catifelate.",bb49d0_aee683ec3b374cfca6c37a40176f8c28~mv2.jpg,Exfoliant pentru corp;Sea Kelp;Baie & Corp;Îngrijire Corp;Îngrijire Picioare;Scottish Fine Soaps,5016365100298,33,"Masați cu mișcări circulare pe picioarele umede, apoi clătiți cu apă caldă pentru a lăsa pielea fină și revigorată.","Aqua (Water), Glycerin, Pumice, Juglans Regia (Walnut) Shell Powder, Methyl Gluceth-20, Phenoxyethanol, Xanthan Gum, Carbomer, Mentha Piperta (Peppermint) Oil, Eucalyptus Globulus Leaf Oil, Citrus Limon (Lemon) Peel Oil, Ethylhexylglycerin, Cucumber Sativus Juice, Fucus Vesiculosus Extract, Laminaria Digitata Extract, Potassium Sorbate, Limonene, Eucalyptus Leaf Oil, Alpha-Pinene, Beta-Pinene, Alpha-Terpinene, Citral",Nu ţineţi la îndemâna copiilor. Împotriva testării pe animale. Evitaţi contactul cu ochii. În caz de contact clătiți abundent cu apă. Nu este comestibil.,"Informatii privind identificarea producatorului, inclusiv datele de contact ale acestuia. Denumirea companiei: Scottish Fine Soaps Adresa Sediului: North Main Street, Carronshore, Falkirk, FK28HT Adresa email: sales@scottishfinesoaps.com",Scottish Fine Soaps
"Scottish Fine Soaps, Sea Kelp Gel de dus, 300ml","Alege un gel de duș revigorant infuzat cu extracte hrănitoare de alge și kelp. Formulă cu exfoliere naturală ce lasă pielea curată, împrospătată și învăluită într-un parfum de briză marină.",bb49d0_817c718af6c44b49a92df43384e3b128~mv2.jpg,Baie;Gel de duș;Sea Kelp;Baie & Corp;Scottish Fine Soaps,5016365101448,78,"Spumați din abundență pe pielea umedă, apoi clătiți cu apă caldă, pentru a lăsa pielea curată și revigorată.","Aqua (Water), Sodium Laureth Sulfate, Sodium Chloride, Parfum (Fragrance), Lactic Acid, Cocamidopropyl Betaine, Sodium Benzoate, Tetrasodium Glutamate Diacetate, Glycerin, Potassium Sorbate, Propylene Glycol, PEG-120 Methyl Glucose Trioleate, Fucus Vesiculosus Extract, Laminaria Digitata Extract, Hexamethylindanopyran, Benzyl Salicylate, Acetyl Cedrene, Hydroxycitronellal, Linalool, Citronellol, CI 42090 (Blue No.1), CI 19140 (Yellow No 5)",Nu ţineţi la îndemâna copiilor. Împotriva testării pe animale. Evitaţi contactul cu ochii. În caz de contact clătiți abundent cu apă. Nu este comestibil.,"Informatii privind identificarea producatorului, inclusiv datele de contact ale acestuia. Denumirea companiei: Scottish Fine Soaps Adresa Sediului: North Main Street, Carronshore, Falkirk, FK28HT Adresa email: sales@scottishfinesoaps.com",Scottish Fine Soaps
"Scottish Fine Soaps, Au Lait Sapun lichid, 300ml",Curăță delicat cu un săpun lichid hidratant bazat pe ovăz scoțian și lapte de mușețel. Pantenolul protejează mâinile și asigură o hidratare optimă pentru o catifelare radiantă în fiecare zi.,bb49d0_5a0c2a8ae8934ff780dc666837967762~mv2.jpg,Săpun de mâini;Baie;Au Lait;Baie & Corp;Scottish Fine Soaps,5016365100410,78,"Aplicați o cantitate mică pe mâinile umede folosind pompița. Spumați, apoi clătiți pentru a vă lăsa mâinile curate și reîmprospătate.","Aqua (Water), Sodium Laureth Sulfate, Sodium Chloride, Parfum (Fragrance), Glycol Distearate, Cocamidopropyl Betaine, Cocamide MEA, Glycerin, Sodium Benzoate, Tetrasodium Glutamate Diacetate, Laureth-10, Panthenol (Vitamin B5), Potassium Sorbate, Avena Sativa (Oat) Seed Extract, Chamomilla Recutita (Matricaria) Flower Extract, Hexamethylindanopyran, Alpha-Isomethyl Ionone, Tetramethylacetyloctahydronaphthalenes, Coumarin",Nu ţineţi la îndemâna copiilor. Împotriva testării pe animale. Evitaţi contactul cu ochii. În caz de contact clătiți abundent cu apă. Nu este comestibil.,"Informatii privind identificarea producatorului, inclusiv datele de contact ale acestuia. Denumirea companiei: Scottish Fine Soaps Adresa Sediului: North Main Street, Carronshore, Falkirk, FK28HT Adresa email: sales@scottishfinesoaps.com",Scottish Fine Soaps
"Scottish Fine Soaps, Au Lait Gel de dus, 75ml","Relaxează-te cu un gel de duș cremos ce folosește calitățile purificatoare ale ovăzului și laptelui de mușețel. Acidul lactic exfoliază natural, lăsând pielea incredibil de moale și calmată.",bb49d0_e0ba1449bf8142e1a7d7d0e751474a11~mv2.jpg,Baie;Gel de duș;Au Lait;Baie & Corp;Scottish Fine Soaps,5016365100502,33,"Spumați din abundență pe pielea umedă, apoi clătiți cu apă caldă, pentru a lăsa pielea curată și revigorată.","Aqua (Water), Sodium Laureth Sulfate, Sodium Chloride, Lactic Acid, Parfum (Fragrance), Glycol Distearate, Cocamidopropyl Betaine, Cocamide MEA, Glycerin, Sodium Benzoate, Tetrasodium Glutamate Diacetate, Laureth-10, Potassium Sorbate, Avena Sativa (Oat) Seed Extract, Chamomilla Recutita (Matricaria) Flower Extract, Hexamethylindanopyran, Alpha-Isomethyl Ionone, Tetramethylacetyloctahydronaphthalenes, Coumarin",Nu ţineţi la îndemâna copiilor. Împotriva testării pe animale. Evitaţi contactul cu ochii. În caz de contact clătiți abundent cu apă. Nu este comestibil.,"Informatii privind identificarea producatorului, inclusiv datele de contact ale acestuia. Denumirea companiei: Scottish Fine Soaps Adresa Sediului: North Main Street, Carronshore, Falkirk, FK28HT Adresa email: sales@scottishfinesoaps.com",Scottish Fine Soaps
"Scottish Fine Soaps, Thistle & Black Pepper Sapun solid, 220g","Îngrijește-ți pielea cu un săpun solid bărbați triplu măcinat. Bogat în glicerină, acesta hidratează intens, catifelează și oferă un parfum masculin rafinat și persistent.",bb49d0_9058a2d1d16b4e30a1c3f6f139c4b6b1~mv2.jpg,Baie;Săpun;Thistle & Pepper;MEN;Baie & Corp;Scottish Fine Soaps,5016365100526,54,"Spumați pe pielea umedă pentru a o curăța delicat, apoi clătiți din abundență cu apă caldă.","Sodium Palmate, Sodium Palm Kernelate , Aqua (Water), Glycerin, Parfum (Fragrance), Titanium Dioxide, Tetrasodium Etidronate, Tetrasodium EDTA, Sodium Gluconate, Silybum Marianum (Milk Thistle) Extract, Tetramethylacetyloctahydroaphthalenes, Coumarin, Citronellol, Linalyl Acetate, Lavandula Oil/Extract",Nu ţineţi la îndemâna copiilor. Împotriva testării pe animale. Evitaţi contactul cu ochii. În caz de contact clătiți abundent cu apă. Nu este comestibil.,"Informatii privind identificarea producatorului, inclusiv datele de contact ale acestuia. Denumirea companiei: Scottish Fine Soaps Adresa Sediului: North Main Street, Carronshore, Falkirk, FK28HT Adresa email: sales@scottishfinesoaps.com",Scottish Fine Soaps
"Scottish Fine Soaps, Thistle & Black Pepper Apa de toaleta, 100ml","Descoperă o apă de toaletă bărbați 100ml cu un parfum masculin emblematic. Combină note vibrante de piper negru, condimente, whisky, mosc și ambră pentru o persistență elegantă.",bb49d0_e2f1bee7df9f45409f41678f61eb9634~mv2.jpg,Parfum & Deodorant;Thistle & Pepper;Fine Fragrance Collection;MEN;Baie & Corp;Scottish Fine Soaps,5016365100533,199,Apăsați pe pompiță pentru a pulveriza parfumul.,"Alcohol denatured, Aqua (Water), Parfum (Fragrance), Tetramethylacetyloctahydroaphthalenes, Coumarin, Citronellol, Linalyl Acetate, Lavandula Oil/Extract, Linalool, Citral, Pelargonium Graveolens Flower Oil, Camphor, Limonene, Beta-Caryophyllene, Rose Ketones, Geraniol, Terpineol",Nu ţineţi la îndemâna copiilor. Împotriva testării pe animale. Evitaţi contactul cu ochii. În caz de contact clătiți abundent cu apă. Nu este comestibil.,"Informatii privind identificarea producatorului, inclusiv datele de contact ale acestuia. Denumirea companiei: Scottish Fine Soaps Adresa Sediului: North Main Street, Carronshore, Falkirk, FK28HT Adresa email: sales@scottishfinesoaps.com",Scottish Fine Soaps
"Scottish Fine Soaps, Thistle & Black Pepper Apa de toaleta, 50ml","Alege o apă de toaletă bărbați 50ml cu un caracter masculin puternic. Aroma lemnoasă inconfundabilă, piperul negru și ambra îți impregnează pielea cu spiritul sălbatic al Scoției.",bb49d0_438918f8260040bc80a3dda702bc7573~mv2.jpg,Parfum & Deodorant;Thistle & Pepper;Fine Fragrance Collection;MEN;Baie & Corp;Scottish Fine Soaps,5016365100540,135,Apăsați pe pompiță pentru a pulveriza parfumul.,"Alcohol denatured, Aqua (Water), Parfum (Fragrance), Tetramethylacetyloctahydroaphthalenes, Coumarin, Citronellol, Linalyl Acetate, Lavandula Oil/Extract, Linalool, Citral, Pelargonium Graveolens Flower Oil, Camphor, Limonene, Beta-Caryophyllene, Rose Ketones, Geraniol, Terpineol",Nu ţineţi la îndemâna copiilor. Împotriva testării pe animale. Evitaţi contactul cu ochii. În caz de contact clătiți abundent cu apă. Nu este comestibil.,"Informatii privind identificarea producatorului, inclusiv datele de contact ale acestuia. Denumirea companiei: Scottish Fine Soaps Adresa Sediului: North Main Street, Carronshore, Falkirk, FK28HT Adresa email: sales@scottishfinesoaps.com",Scottish Fine Soaps
"Scottish Fine Soaps, Thistle & Black Pepper Gel de dus si sampon, 200ml","Curăță eficient părul și corpul cu un gel de duș și șampon bărbați revitalizant. Conține extract purificator de armurariu și pantenol hidratant, lăsând un parfum cald, lemnos și piperat.",bb49d0_491fdaacf97e41d2b94b088dd047711a~mv2.jpg,Ingrijire Par MEN;Baie;Gel de duș;Thistle & Pepper;MEN;Men Face & Body;Baie & Corp;Scottish Fine Soaps,5016365100571,68,"Spumați din abundență pe pielea și părul umed, apoi clătiți cu apă caldă.","Aqua (Water), Sodium Laureth Sulfate, Sodium Chloride, Cocoamidopropyl Betaine, Citric Acid, Sodium Benzoate, Tetrasodium Glutamate Diacetate, Parfum (Fragrance), Potassium Sorbate, Panthenol (Vitamin B5), Propylene Glycol, PEG-120 Methyl Glucose Trioleate, Glycerin, Silybum Marianum (Milk Thistle) Extract, Tetramethylacetyloctahydroaphthalenes, Coumarin, Citronellol, Linalyl Acetate, Lavandula Oil/Extract, CI 19140 (Yellow No.5), CI 14700 (Red No.4), CI 42090 (Blue No.1)",Nu ţineţi la îndemâna copiilor. Împotriva testării pe animale. Evitaţi contactul cu ochii. În caz de contact clătiți abundent cu apă. Nu este comestibil.,"Informatii privind identificarea producatorului, inclusiv datele de contact ale acestuia. Denumirea companiei: Scottish Fine Soaps Adresa Sediului: North Main Street, Carronshore, Falkirk, FK28HT Adresa email: sales@scottishfinesoaps.com",Scottish Fine Soaps
"Scottish Fine Soaps, Thistle & Black Pepper Sampon, 300ml","Fortifică firul de păr cu acest șampon bărbați formulat cu extract de hamei și magneziu. Curăță delicat scalpul, stimulează creșterea și strălucirea, oferind un parfum masculin fin.",bb49d0_c3e179b2f7424fe2a2df0bdd6f043f72~mv2.jpg,Ingrijire Par MEN;Baie;Thistle & Pepper;MEN;Baie & Corp;Scottish Fine Soaps,5016365100588,92,"Masați o cantitate generoasă de șampon pe părul umed, apoi clătiți din abundență.","Aqua (Water), Sodium Laureth Sulfate, Sodium Chloride, Glycerin, Parfum (Fragrance), Citric Acid, Cocamidopropyl Betaine, Sodium Benzoate, Magnesium PCA, Potassium Sorbate, Panthenol (Vitamin B5), Propylene Glycol, Tetrasodium Glutamate Diacetate, PEG-120 Methyl Glucose Trioleate, Avena Sativa (Oat) Seed Extract, Humulus Lupulus (Hops) Extract, Silybum Marianum (Milk Thistle) Extract, Tetramethylacetyloctahydroaphthalenes",Nu ţineţi la îndemâna copiilor. Împotriva testării pe animale. Evitaţi contactul cu ochii. În caz de contact clătiți abundent cu apă. Nu este comestibil.,"Informatii privind identificarea producatorului, inclusiv datele de contact ale acestuia. Denumirea companiei: Scottish Fine Soaps Adresa Sediului: North Main Street, Carronshore, Falkirk, FK28HT Adresa email: sales@scottishfinesoaps.com",Scottish Fine Soaps
